Issue key,Issue id,Assignee,Status,Summary,Custom field (Type of Service),Component/s,Custom field (Offering Type),Priority,Custom field (Total amount (€) weighted),Custom field (Type Business Opportunity),Custom field (Country),Custom field (Market),Custom field (Market Manager),Custom field (DN Manager),Custom field (Operations Manager),Custom field (Renewal),Custom field (Código GEP),Custom field (Temporal Scope),Custom field (Receipt of application),Custom field (Delivery Commitment),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Total Amount (euros)),Custom field (Budg.Loc.Currency),Custom field (Margin),Custom field (Offer Code (NG)),Custom field (Offer Description (NG)),Custom field (Transversal offer),Updated,Created,Custom field (Proposal Due Date),Custom field (Observations),Resolved
OFBRA-4104,19138810,ceduardoc,Rejected,Banco do Brasil [BB25IGA] Solução de IGA,Cyber,Banco do Brasil,Solução de IGA e Gestão,Minor,"10,000",Proposal,Brazil,FS,amalheiros,ceduardoc,,No,FSCOCB_22,3.0,16/12/25 10:32,05/01/26 10:32,,,,,,,,,,,,,,,,10000.0,62500.0,24.0,,,No,26/12/25 12:48,19/12/25 10:35,27/02/26 10:32,"26/12 - NO GO Colegiado por falta de atestados
16/12 - Recebida RFP para Analise",26/12/25 12:48
OFBRA-4096,19114546,lpaixaob,Cancelled,teste,CNT - Presale,Teste,,Minor,,Presale,Brazil,Energy,lpaixaob,ejesus,,No,,0.0,16/12/25 10:23,16/12/25 10:23,,,,,,,,,,,,,,,,,,,,,No,16/12/25 12:06,16/12/25 10:25,,16/12 - teste,16/12/25 12:06
OFBRA-4099,19132234,rpuliti,On Offer, VIVO - Bloqueio de Chamadas Abusivas -  VIVOBLSPCA ,DIC - Infra,"Telefonica | VIVO",Projeto,Minor,,Proposal,Brazil,Telco,laattianese,rpuliti,ejesus,No,TECOPA_13,2.0,16/12/25 07:11,06/01/26 06:00,agoncalvest,ejesus,kbarbosa,rpuliti,,,,,,,,,,,,,,,,,Yes,26/12/25 16:02,18/12/25 12:47,,"16/12 - Divulgação da oferta
15/12 - Potencial parceiro NetNumber firmou NDA com Minsait",
OFBRA-4094,19109679,jpascoalini,Abandoned,RAIZEN - Sistema de Monitoramento - ENRZMONIT,Phygital,RAIZEN,Projeto,Minor,"80,000",Proposal,Brazil,Energy,sleec,jpascoalini,,No,ENCODS_55,1.0,15/12/25 16:49,17/12/25 19:04,,,,,,,,,,,,,,,,80000.0,500000.0,25.0,,,No,19/12/25 09:11,15/12/25 16:48,,"19/12/2025 - Solicitado postergação ao cliente e não tivemos retorno. Não foi criado proposta técnica/comercial , proposta foi descontinuada.
16/12/2025 - Em entendimento da oportunidade
15/12/2025 - Recebimento da Oferta e criação do jira.",19/12/25 09:11
OFBRA-4106,19139071,ceduardoc,FollowUp,AMBEV [IC_AMBSIM] SIMOC,Cyber,Ambev,Simulação de Gestão de Crise Cibernética,Minor,"32,000",Proposal,Brazil,Industry,icorrea,ceduardoc,,No,INCOCB_23,0.1,15/12/25 11:12,09/01/26 11:12,,,,,,,,,,,,,,,,32000.0,200000.0,24.0,,,No,26/12/25 12:54,19/12/25 11:16,19/01/26 11:12,"26/12 - Segue em FUP
17/12 - Proposta enviada
15/12 - Pedido de proposta recebido",
OFBRA-4095,19114086,htorresg,On Offer,[CPFL] Projeto radar API ANEEL - API 2 [ENCPFLRADA],Datos - Analytics,CPFL,,Minor,,Proposal,Brazil,Energy,mfariasf,htorresg,,No,ENCODA_24,,15/12/25 09:33,19/12/25 09:33,,,,,,,,,,,,,,,,,,,,,No,23/12/25 09:48,16/12/25 09:41,,"22/12/2025 - Em agenda com cliente ficou algumas dúvidas e será marcado uma agenda para dia 29/12 para esclarecimento com a Andrea
16/12 - Alinhamento com o Murilo: Iremos utilizar o Bolsão de horas existente,
16/12 - gerado oferta no Jira",
OFBRA-4091,19105358,jpascoalini,FollowUp,"CPFL | Iniciativa Projetos GMO -  ENCPFLGESM",DS - IT Strategy,CPFL,,Minor,"160,000",Proposal,Brazil,Energy,vgrecci,jpascoalini,,No,ENCODS_55,1.0,12/12/25 08:28,18/12/25 08:28,phenriquegu,,,,,,,,,,,,,,,160000.0,1000000.0,25.0,,,Yes,26/12/25 11:21,15/12/25 08:28,,"26/12/2025 - Aguardando revisão da proposta técnica pelo cliente e validação dos preços para seguimento de possíveis atualizações e avanço para negociação comercial.
18/12/2025 - Proposta técnica elaborada e MDC com ratecard também. Disponibilizado ao mercado.
12-15/12/2025 - Elaboração da proposta
12/12/2025 - Criação da oportunidade e jira",
OFBRA-4097,19123411,ecarneiro,FollowUp,Smiles - Sinergia Faturamento e Conciliação [IC_SMBFC ],SGE - SAP S4 Hana,Smiles,Projeto,Minor,"548,329",Proposal,Brazil,Industry,fcrivano,ecarneiro,,No,INCOSG_109,0.8,11/12/25 15:43,19/12/25 16:43,dcapretz,emoura,,,,,,,,,,,,,,548329.0,3427054.0,30.0,,,No,29/12/25 10:47,17/12/25 11:38,11/02/26 19:47,"29/12/25: Aguardando retorno do cliente.
19/12/25: Proposta entregue ao cliente. 
17/12/25: Oferta recebida e em construção para entrega em 19/12.",
OFBRA-4090,19101718,priniesta,On Offer,ALESP/SP - DESENVOLVIMENTO E SUSTENTAÇÃO DE SOLUÇÕES - [SPALESP],DS - Software Factory,ALESP/SP,,Minor,,Proposal,Brazil,PA,fcampelo,priniesta,,No,APCODS_54,,11/12/25 11:52,29/01/26 09:00,,,,,,,,,,,,,,,,,,,,,No,29/12/25 20:53,13/12/25 17:08,,"26/12 Oferta em fase de elaboração.
19/12: Pregão adiado para o dia 29/01/2026.
11/12 Oferta em fase de elaboração.
11/12: Oferta anunciada pelo Mercado. Pregão previsto para o dia 19/12",
OFBRA-4089,19101717,priniesta,On Offer,PM/SC - DESENVOLVIMENTO DE SISTEMAS - [SCPMSCGA],DS - Software Factory,PM/SC,,Minor,,Proposal,Brazil,PA,fcampelo,priniesta,,No,APCODS_55,,11/12/25 11:48,09/01/26 09:00,,,,,,,,,,,,,,,,,,,,,No,29/12/25 20:53,13/12/25 17:04,,"26/12: Pregão Suspenso. Aguardando a publicação da nova data do Pregão.
16/12: Pregão Suspenso. Aguardando a publicação da nova data do Pregão.
11/12: Oferta em fase de elaboração.
11/12: Oferta anunciada pelo Mercado. Pregão previsto para o dia 17/12",
OFBRA-4086,19099466,ceduardoc,Under Study,VIVO SOC 360 [VIVRNSOC2],Cyber,VIVO,VIVO Renovação SOC360,Minor,"94,806",Proposal,Brazil,Telco,lgustavof,ceduardoc,,Yes,TECOCB_7,1.0,11/12/25 10:24,15/01/26 10:24,agoncalvest,,,,,,,,,,,,,,,94806.0,592541.0,25.0,,,No,29/12/25 16:11,12/12/25 10:29,27/02/26 10:24,12/12 - Recebida oferta pra renovação de contrato SOC360,
OFBRA-4083,19086191,aangelo,Rejected,[ELETROBRAS] Contratação a execução de serviços técnicos especializados para análise geométrica [ENAXIABIM],Datos - Other,Eletrobras,,Minor,,Proposal,Brazil,Energy,lpereiraca,aangelo,,No,ENCODA_23,0.0,10/12/25 15:46,16/12/25 15:46,,,,,,,,,,,,,,,,,,,,,No,26/12/25 08:46,10/12/25 15:53,,"26/12/2025Declarada NO-GO dia 22/12 por Mauricio Piazza
10/12/2025 - Criado Jira e Grupo Teams",26/12/25 08:46
OFBRA-4084,19094606,ecarneiro,FollowUp,Petronect - Prestação de serviços de suporte [PN_SISSAP],SGE - SAP S4 Hana,Petronect,Projeto,Minor,"310,551",Proposal,Brazil,Energy,pvasconcellos,ecarneiro,fssiqueira,No,ENCOSG_46,2.0,09/12/25 09:52,15/12/25 09:52,emoura,,,,,,,,,,,,,,,310551.0,1940947.0,24.0,,,No,22/12/25 08:53,11/12/25 17:43,19/03/26 09:52,"22/12: Oferta entregue ao mercado.
11/12-  Realizei alinhamento com o KAM da oferta que poderá sofrer alteração na data de envio.
11/12 - Oferta criada.",
OFBRA-4082,19078963,priniesta,Rejected,MP/MA - SERVICE DESK + OPERAÇÃO INFRAESTRUTURA - [AP_MA_MP],GU - Service Desk (SD),MP/MA,,Minor,,Proposal,Brazil,PA,frhode,priniesta,,No,APCOGU_9,2.0,08/12/25 15:51,18/12/25 09:00,ejesus,mcarvalhos,,,,,,,,,,,,,,,,,,,No,22/12/25 18:25,09/12/25 16:35,,"16/12: NO GO decidido pelo Mercado, devido à falta de competividade de nossa parte.
12/12: Oferta em fase de elaboração.
09/12: Oferta em fase de entendimento.
08/12: Oferta anunciada pelo Mercado. Pregão previsto para o dia 18/12.",22/12/25 18:25
OFBRA-3920,18623521,priniesta,FollowUp,CAIXA CARTÕES - CONSULTA PÚBLICA FÁBRICA DE SOFTWARE - [CEF25FWC],DS - Software Factory,CEF - Caixa Economica Federal,,Minor,"21,280,000",Proposal,Brazil,FS,amalheiros,wholanda,,No,FSCODS_58,3.0,08/12/25 14:34,26/12/25 10:00,efernandasi,priniesta,,,,,,,,,,,,,,2.128E7,1.33E8,21.64,,,No,29/12/25 20:56,19/09/25 12:08,19/03/26 18:00,"26/12: Pregão realizado. Ficamos em 1. Lugar. Documentação de Habilitação enviada ao Pregoeiro. Aguardando retorno sobre a Documentação enviada.
23/12: MDC enviado ao Mercado.
19/12: Oferta em fase de elaboração.
12/12: Oferta em fase de elaboração.
08/12: Oferta anunciada pelo Mercado. Pregão previsto para o dia 26/12.
28/11: Aguardando a publicação do Edital para converter esta Cotação para Proposta.
21/11: Aguardando a publicação do Edital para converter esta Cotação para Proposta.
24/10: Aguardando a publicação do Edital para converter esta Cotação para Proposta.
17/10: Aguardando a publicação do Edital para converter esta Cotação para Proposta.
10/10: Aguardando a publicação do Edital para converter esta Cotação para Proposta.
03/10: Aguardando a publicação do Edital.
26/09: Aguardando a publicação do Edital.
19/09: MDC referente à esta Cotação enviada ao Mercado.
18/09: Oferta em fase de elaboração.
15/09: Oferta cadastrada no MOC. Envio da resposta ao Pedido de Cotação para o dia 26/09.",
OFBRA-4081,19077593,rpuliti,On Offer,VIVO - Modernização AAA da Fixa - VIVOAAA26,DIC - Other,"Telefonica | VIVO",Projeto,Minor,,Proposal,Brazil,Telco,lgustavof,rpuliti,erodriguesj,No,TECODI_18,3.0,08/12/25 13:36,07/01/26 06:00,areinerb,erodriguesj,glopesal,ikolomenconkovas,rpuliti,,,,,,,,,,,,,,,,Yes,29/12/25 17:25,09/12/25 12:24,,"29/12 - Revisão MdC.
23/12 - Revisão MdC com esforço adicional novo requerimento VIVO.
22/12 - Reuniao junto ao cliente VIVO com esclarecimento de dúvidas. Vivo adicionou um escopo novo (integração do legado de 60k assinantes.
18/12 - Revisão MdC
15/12 - Follow up - PaP e OT - work on progress.
12/12 - Follow up. Dimensiona reajustado e repassado para pricer.
11/12 - Folow Up. Compartilhado dimensiona para pricer (Angelica) trabalhar.
10/12 - Follow up
09/12 - kickoff Minsait Brasil (Beneti, Gilvan e Puliti) e Minsait Espanha (Francisco Garcia e Álvaro Gascón).
08/12 - Divulgação da oferta",
OFBRA-4077,19069534,imedeiros,On Offer,ISA CTEEP - Capacidade Power Platform - CTEEP_RENO04,DS - LowCode,ISA CTEEP,,Minor,,Presale,Brazil,Energy,bsoarest,wholanda,fdosa,No,ENCODA_22,,05/12/25 13:46,29/01/26 13:46,,,,,,,,,,,,,,,,,,,,,No,26/12/25 11:21,05/12/25 13:52,,"26/12/2025 - Elaboração da POC pela operação
12/12/2025 - Elaboração da POC pela operação
05/12/2025 - Oferta recebida",
OFBRA-4092,19107733,ecarneiro,On Offer,Naturgy - Solução de sustentação Salesforce  [ENNATSFORC],SGE - Sales Force,NATURGY,Projeto,Minor,,Proposal,Brazil,Energy,lscaruso,ecarneiro,,No,ENCOSG_45,,05/12/25 11:58,15/12/25 11:58,,,,,,,,,,,,,,,,,,,,,No,19/12/25 14:57,15/12/25 12:00,,15/12: Oferta sendo trabalhada. ,
OFBRA-4080,19076315,wholanda,On Offer,Getnet - Integração e Automação do Processo Comercial e de Cadastro [GET26DS01],DS - Application Modernization,Getnet,,Minor,,Proposal,Brazil,FS,sbarretod,wholanda,,No,ENCODS_53,,04/12/25 10:00,12/12/25 10:00,,,,,,,,,,,,,,,,,,,,,No,23/12/25 10:36,09/12/25 10:05,,abertura da oferta,
OFBRA-4085,19094618,emoura,FollowUp,"VIVO |  Sustentação SAP BTP (VIVSSAPBTP)",SGE - SAP BTP,VIVO,Projeto,Minor,"386,731",Proposal,Brazil,Telco,laattianese,ecarneiro,,No, TECOSG_20,0.6,03/12/25 15:26,15/12/25 08:22,,,,,,,,,,,,,,,,386731.0,2417069.0,24.0,,,No,22/12/25 08:53,11/12/25 17:56,31/03/25 14:06,"15/12: oferta entregue ao mercado.
11/12: Oferta será conduzida pela operação de SGE.
11/12: Oferta recebida. ",
OFBRA-4069,19042512,jpascoalini,FollowUp,"CPFL | CNPJ Alfanumérico -  ENCPFLACA",DS - Portales Web,CPFL,,Minor,"80,000",Proposal,Brazil,Energy,vgrecci,mbenicios,,No,ENCODS_52,1.0,02/12/25 09:58,18/12/25 09:58,phenriquegu,,,,,,,,,,,,,,,80000.0,500000.0,28.0,,,Yes,26/12/25 11:22,02/12/25 09:55,,"26/12/2025 - Aguardando posicionamento do cliente sobre revisão da proposta técnica e avanço para negociações comerciais.
18/12/2025 - Proposta técnica elaborada e MDC com ratecard também. Disponibilizado ao mercado.
12/12/2025 - Proposta técnica em atualização e atualização de taxas de perfis.
05/12/2025 - A proposta já foi elaborada pelo mercado e enviada para o cliente. Neste momento esta sendo levantado como foi definido o ratecard e efetuar também uma pesquisa salarial para aplciar ao MDC e geração formal de preço.
02/12/2025 - Iniciada a elaboração da Proposta
02/12/2025 - Criação da oportunidade e jira",
OFBRA-4109,19140009,emoura,Cancelled,"Lactalis | Solução de Comissionamento para os RDA [IC_RDALAC]",SGE - SAP,lactalis,Projeto,Minor,,Proposal,Brazil,Industry,icorrea,ecarneiro,fssiqueira,No,INCOSG_108,1.0,01/12/25 17:27,12/01/26 17:27,emoura,,,,,,,,,,,,,,,,744325.0,30.0,,,No,19/12/25 23:04,19/12/25 14:46,,"19/12 - Oferta duplicada, seguir com OFBRA-4093
19/12 - Oferta criada.",19/12/25 15:48
OFBRA-4079,19072205,htorresg,FollowUp,[BrasilSeg]Painel Monitoramento _ BrasilSeg - BRS25DBT22,Datos - Analytics,Brasil Seg,,Minor,"67,223",Proposal,Brazil,FS,dfarias,htorresg,,No,FSCODA_31,0.3,01/12/25 17:11,15/12/25 17:11,,,,,,,,,,,,,,,,67223.0,420146.0,30.0,,,No,19/12/25 09:03,08/12/25 17:16,12/03/26 16:37,"17/12/2025  - Alinhamento com a Daniela - A mesma irá verificar se o cliente deseja receber uma oferta única com SAP + Painel.
12/12/2025 - Oferta Entregue
08/12/2025 - Criado Oferta no Jira",
